"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"16","Basset Hound","hound","41.0","71.0","Lowest","80-100","<25","11.43","152.0","blood, skin disorders","2.0","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea","5.0","14795.2896","489.5","budget","150.0","1000.0","4","4.0","4.0","4.97266","2965.638855","11140.15074","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small",NA,NA,"35.56","14.0",NA,NA,NA,NA
"17","Beagle","hound","3.0","73.0","Lowest","80-100","<25","12.3","303.0","heart problems","1.0","Pulmonic stenosis","5.0","15666.95862","287.5","budget","100.0","600.0","4","4.0","4.0","4.97266","3191.369896","11988.08873","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","small",NA,NA,"35.56","14",NA,NA,NA,NA
"18","Bearded Collie","herding","112.0","34.0","Above average","15-25",">70","12.77","551.0","none","0.0","none","5.0",NA,"675","budget",NA,NA,"5.75","4.0","7.5","7.14819875","4762.892541","12446.17017","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","medium",NA,NA,"53.34","21",NA,NA,NA,NA
"19","Beauceron","herding","144.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"2.0",NA,"966.6666667","mid-price","950.0","1000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"65.405","25.75","3 dogs for sale only",NA,NA,NA
"20","Bedlington Terrier","terrier","134.0","40.0","Average","25-40",">50","13.51","54.0","liver, eye problems","2.0","Chronic hepatitis, Retinal dysplasia","2.0","17931.05577","1058.333333","mid-price","250.0","1800.0","4","4.0","4.0","4.97266","3505.317666","13167.40477","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","9.0718474","20",NA,NA,"Price: only 6 puppies for breed",NA,NA,NA
"21","Belgian Malinois","herding","74.0","22.0","Excellent","5-15",">85",NA,"-","none","0.0","none","3.0",NA,"1080","mid-price","550.0","2000.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"60.96","24",NA,NA,NA,NA
"22","Belgian Shepherd Dog","herding","118.0","15.0","Excellent","5-15",">85",NA,"-","cataracts + other eye problems, muscular dystrophy","4.0","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy","3.0",NA,"1200.0","mid-price",NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"60.96","24",NA,NA,NA,NA
"23","Belgian Shepherd Dog (Tervuren)","herding","108.0","14.0","Excellent","5-15",">85","10.6","105.0","epilepsy, eye problems","2.0","Idiopathic epilepsy, Pannus - chronic superficial keratitis","3.0","15554.7349","1070","mid-price","850.0","1200.0","5.75","4.0","7.5","7.14819875","3953.536487","10331.19842","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"60.96","24",NA,NA,NA,NA
"24","Bernese Mountain Dog","working","34.0","22.0","Excellent","5-15",">85","7.56","701.0","meningitis, elbow + hip problems, complex immune disorder","4.0","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis","4.0","13179.12443","1320","mid-price","750.0","2500.0","8.75","7.5","10.0","10.87769375","4290.835744","7368.288682","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","large",NA,NA,"64.135","25.25",NA,NA,NA,NA
"25","Bichon Frise","non-sporting","39.0","45.0","Average","25-40",">50","12.21","146.0","none","0.0","none","6.0","15960.88941","692.5","budget","250.0","1500.0","4","4.0","4.0","4.97266","3168.018409","11900.37101","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","small",NA,NA,"26.67","10.5",NA,NA,NA,NA
