"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"68","Field Spaniel","sporting","141.0","34.0","Above average","15-25",">70","9.9","139.0","none","0.0","none","5.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","3692.453889","9648.949464","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","medium","medium",NA,NA,"44.45","17.5",NA,NA,NA,NA
"69","Finnish Lapphund","herding","104.0",NA,NA,NA,NA,"7.33","5.0",NA,NA,NA,"3.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","2733.907778","7144.121169","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","medium",NA,NA,"46.99","18.5",NA,NA,NA,NA
"70","Finnish Spitz","non-sporting","167.0","43.0","Average","25-40",">50","11.17","42.0","none","0.0","none","3.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","4166.132317","10886.74399","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"45.085","17.75",NA,NA,NA,NA
"71","Flat-Coated Retriever","sporting","90.0","18.0","Excellent","5-15",">85","9.02","1198.0","none","0.0","none","4.0","12955.50083","600","budget","300.0","1200.0","5.75","4.0","7.5","7.14819875","3364.235765","8791.265067","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","medium",NA,NA,"59.055","23.25","Price: 3 dogs only",NA,NA,NA
"72","French Bulldog","non-sporting","18.0","58.0","Fair","40-80",">30","9.0","71.0","none","0.0","none","1.0","14228.5485","1900","high-end","1300.0","3500.0","5.75","4.0","7.5","7.14819875","3356.776263","8771.77224","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","12.24699399","27.0",NA,NA,"must weigh 28 pounds or less",NA,NA,NA
"73","German Pinscher","working","137.0",NA,NA,NA,NA,"11.42","24.0",NA,NA,NA,"2.0",NA,"1500.0","high-end","1500.0","1500.0",NA,NA,NA,NA,NA,"11130.40433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"46.99","18.5","only one dog for sale",NA,NA,NA
"74","German Shepherd","herding","2.0","3.0","Brightest","<5",">95","9.73","795.0","nerves, pancreas, blood (hemophilia), hip joints","8.0","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

","3.0","14131.80855","819.5","mid-price","400.0","1495.0","5.75","4.0","7.5","7.14819875","3629.048115","9483.260433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large",NA,NA,"60.96","24",NA,NA,NA,NA
"75","German Shorthaired Pointer","sporting","15.0","17.0","Excellent","5-15",">85","11.46","203.0","hip problems","1.0","hip dysplasia","4.0",NA,"545","budget","200.0","850.0",NA,NA,NA,NA,NA,"11169.38999","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large","28.34952313","62.5","60.96","24",NA,NA,NA,NA
"76","German Wirehaired Pointer","sporting","75.0","44.0","Average","25-40",">50","10.0","41.0","hip problems","1.0","hip dysplasia","3.0",NA,"655","budget","600.0","800.0",NA,NA,NA,NA,NA,"9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"60.96","24",NA,NA,NA,NA
"77","Giant Schnauzer","working","95.0","28.0","Above average","15-25",">70","10.0","39.0","hip problems","1.0","hip dysplasia","4.0",NA,"810","mid-price","400.0","1500.0",NA,NA,NA,NA,NA,"9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"64.77","25.5",NA,NA,NA,NA
"78","Glen of Imaal Terrier","terrier","158.0",NA,NA,NA,NA,"10.42","6.0",NA,NA,NA,"5.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10155.76297","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","15.87573295","35.0","33.655","13.25",NA,NA,NA,NA
"79","Golden Retriever","sporting","4.0","4.0","Brightest","<5",">95","12.04","1314.0","elbows, hips, eyes, heart","4.0","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis","4.0","17383.636","958.3333333","mid-price","325.0","2500.0","5.75","4.0","7.5","7.14819875","4490.620689","11734.68197","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","27.2155422","60","57.785","22.75",NA,NA,NA,NA
"80","Gordon Setter","sporting","94.0","34.0","Above average","15-25",">70","11.1","169.0","hip problems","1.0","hip dysplasia","5.0","15858.54315","700","mid-price","500.0","100.0","5.75","4.0","7.5","7.14819875","4140.024057","10818.5191","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","28.34952313","62.5","63.5","25","3 dogs only",NA,NA,NA
"81","Great Dane","working","19.0","48.0","Average","25-40",">50","6.96","667.0","heart, spinal, hip problems, fatal stomach bloat","4.0","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia","3.0","11973.79709","1040","mid-price","500.0","2500.0","8.75","7.5","10.0","10.87769375","3950.293225","6783.503866","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"76.2","30","min height for males",NA,NA,NA
"82","Great Pyrenees","working","71.0","64.0","Fair","40-80",">30","10.0","454.0","hip problems","1.0","hip dysplasia","3.0",NA,"502.5","budget","225.0","800.0",NA,NA,NA,NA,NA,"9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"72.39","28.5","Excludes death from accidents (10.47%), euthanasia for temperament problems (9.13%), and dogs euthanized within 8 weeks of birth (2.23%).   With those included, median longevity would probably be about 9 yrs.",NA,NA,NA
"83","Greater Swiss Mountain Dog","working","82.0",NA,NA,NA,NA,"6.8","71.0","hip problems","1.0","hip dysplasia","3.0",NA,"1605","high-end","900.0","2500.0",NA,NA,NA,NA,NA,"6627.561248","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"66.04","26",NA,NA,NA,NA
"84","Greyhound","hound","140.0","46.0","Average","25-40",">50","9.36","74.0","blood vessel disorders","1.0","familial vasculopathy","2.0","12926.19778","1175","mid-price","200.0","2500.0","4","4.0","4.0","4.97266","2428.554653","9122.64313","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","29.48350405","65",NA,NA,NA,NA,NA,NA
"85","Harrier","hound","172.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"50.8","20",NA,NA,NA,NA
"86","Havanese","toy","31.0",NA,NA,NA,NA,"10.25","3.0","none","0.0","none","6.0",NA,"829.5","mid-price","300.0","1500.0",NA,NA,NA,NA,NA,"9990.07394","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"24.765","9.75",NA,NA,NA,NA
"87","Ibizan Hound","hound","149.0","53.0","Average","25-40",">50",NA,"-","none","0.0","none","2.0",NA,"1500.0","high-end","1500.0","1500.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"63.5","25","Only 2 puppies for sale",NA,NA,NA
"88","Icelandic Sheepdog","herding","143.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"43.815","17.25",NA,NA,NA,NA
"89","Irish Red and White Setter","sporting","147.0",NA,NA,NA,NA,"11.57","199.0",NA,NA,NA,"3.0",NA,"1000.0","mid-price","1000.0","1000.0",NA,NA,NA,NA,NA,"11276.60054","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"61.595","24.25","only 2 dogs for sale",NA,NA,NA
"90","Irish Setter","sporting","70.0","35.0","Above average","15-25",">70","11.63","922.0","hip, eye problems","2.0","Hip dysplasia, Progressive retinal atrophy","3.0","16397.7799","525","budget","300.0","1000.0","5.75","4.0","7.5","7.14819875","4337.700881","11335.07902","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","29.48350405","65","66.04","26",NA,NA,NA,NA
"91","Irish Terrier","terrier","132.0","53.0","Average","25-40",">50",NA,"-","none","0.0","none","4.0",NA,"587.6","budget","400.0","850.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","11.79340162","26","45.72","18",NA,NA,NA,NA
"92","Irish Water Spaniel","sporting","150.0","24.0","Excellent","5-15",">85","9.33","95.0","hip problems","1.0","hip dysplasia","4.0",NA,NA,NA,NA,NA,"8.75","7.5","10.0","10.87769375","5295.436176","9093.403889","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","24.94758035","55","57.15","22.5",NA,NA,NA,NA
"93","Irish Wolfhound","hound","79.0","41.0","Average","25-40",">50","6.94","121.0","heart, liver, hip problems","3.0","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt","2.0","15049.81604","1333.333333","mid-price","800.0","1550.0","15","15.0","15.0","18.647475","6752.47167","6764.011038","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"81.28","32",NA,NA,NA,NA
"94","Italian Greyhound","toy","65.0","60.0","Fair","40-80",">30","10.02","203.0","none","0.0","none","5.0","13365.70532","800","mid-price","500.0","120.0","4","4.0","4.0","4.97266","2599.798891","9765.906427","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","small",NA,NA,"35.56","14",NA,NA,NA,NA
"95","Japanese Chin","toy","78.0","62.0","Fair","40-80",">30","9.25","38.0","none","0.0","none","6.0",NA,"512.5","budget","200.0","800.0",NA,NA,NA,NA,NA,"9015.43258","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"24.13","9.5",NA,NA,NA,NA
"96","Keeshond","non-sporting","98.0","16.0","Excellent","5-15",">85","12.17","104.0","hip problems","1.0","hip dysplasia","5.0",NA,"610","budget","350.0","1000.0",NA,NA,NA,NA,NA,"11861.38535","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"44.45","17.5",NA,NA,NA,NA
"97","Kerry Blue Terrier","terrier","124.0","35.0","Above average","15-25",">70","9.4","353.0","heart problems","1.0","Patent ductus arteriosus (PDA)","3.0","14067.5951","1200","mid-price","900.0","1500.0","5.75","4.0","7.5","7.14819875","3505.966319","9161.628784","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","medium","medium","16.55612151","36.5","46.99","18.5",NA,NA,NA,NA
"98","Komondor","working","166.0",NA,NA,NA,NA,"9.17","10.0","hip problems","1.0","hip dysplasia","2.0",NA,"656.25","budget","500.0","850.0",NA,NA,NA,NA,NA,"8937.461271","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large","45.359237","100.0","69.85","27.5",NA,NA,NA,NA
"99","Kuvasz","working","148.0","42.0","Average","25-40",">50",NA,"-","hip problems","1.0","hip dysplasia","4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large","41.95729423","92.5","71.12","28",NA,NA,NA,NA
"100","Labrador Retriever","sporting","1.0","7.0","Brightest","<5",">95","12.04","1101.0","elbows, hips, eyes","3.0","elbow dysplasia, hip dysplasia, retinal dysplasia","4.0","17235.20266","809.9","mid-price","299.0","1500.0","5.75","4.0","7.5","7.14819875","4490.620689","11734.68197","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","30.61748498","67.5","58.42","23",NA,NA,NA,NA
"101","Lakeland Terrier","terrier","135.0","62.0","Fair","40-80",">30",NA,"-","none","0.0","none","4.0",NA,"1092.5","mid-price","575.0","1600.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","7.71107029","17.0","36.83","14.5",NA,NA,NA,NA
"102","Leonberger","working","103.0",NA,NA,NA,NA,"6.98","125.0",NA,NA,NA,"3.0","12444.64133","1480","mid-price","700.0","1800.0","8.75","7.5","10.0","10.87769375","3961.644642","6802.996693","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"72.39","28.5","5 dogs for sale only",NA,NA,NA
"103","Lhasa Apso","non-sporting","62.0","68.0","Fair","40-80",">30","13.92","91.0","'dry eye'","1.0","Keratoconjunctivitis sicca (KCS) - ""dry eye""","6.0","17728.70439","350","budget","175.0","550.0","4","4.0","4.0","4.97266","3611.696663","13567.00773","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","6.80388555","15","26.67","10.5",NA,NA,NA,NA
"104","Löwchen","non-sporting","152.0",NA,NA,NA,NA,"10.0","9.0","none","0.0","none","5.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"33.02","13",NA,NA,NA,NA
"105","Maltese","toy","23.0","59.0","Fair","40-80",">30","12.25","42.0","heart problems","1.0","Patent ductus arteriosus (PDA)","6.0",NA,"649.5","budget","300.0","1000.0",NA,NA,NA,NA,NA,"11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","2.26796185","5",NA,NA,NA,NA,NA,NA
"106","Manchester Terrier","terrier","119.0","32.0","Above average","15-25",">70","9.32","142.0","none","0.0","none","2.0",NA,"720","mid-price","140.0","1500.0",NA,NA,NA,NA,NA,"9083.657475","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","7.71107029","17",NA,NA,"only 7 puppies for sale. weight for standard (not miniature)",NA,NA,NA
"107","Mastiff","working","28.0","72.0","Lowest","80-100","<25","6.5","94.0","hip, heart problems","2.0","Hip dysplasia, Pulmonic stenosis","3.0",NA,"900","mid-price","150.0","1200.0",NA,NA,NA,NA,NA,"6335.16884","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"76.2","30.0","min weight for dogs",NA,NA,NA
"108","Miniature Bull Terrier","terrier","127.0",NA,NA,NA,NA,"6.6","73.0","none","0.0","none","1.0",NA,"1739.6","high-end","999.0","2800.0",NA,NA,NA,NA,NA,"6432.632976","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"30.48","12",NA,NA,NA,NA
"109","Miniature Pinscher","toy","42.0","37.0","Above average","15-25",">70",NA,"-","none","0.0","none","3.0",NA,"534.5","budget","300.0","900.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"28.575","11.25",NA,NA,NA,NA
"110","Miniature Schnauzer","terrier","12.0","12.0","Excellent","5-15",">85","11.81","232.0","liver, sinus problems","2.0","Portosystemic shunt, Sick sinus syndrome","3.0",NA,"714.5","mid-price","200.0","1600.0",NA,NA,NA,NA,NA,"11510.51446","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"33.02","13",NA,NA,NA,NA
"111","Neapolitan Mastiff","working","110.0",NA,NA,NA,NA,NA,"-","hip problems","1.0","hip dysplasia","1.0",NA,"1760","high-end","850.0","3500.0","15","15.0","15.0","18.647475",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","58.9670081","130","69.85","27.5",NA,NA,NA,NA
"112","Newfoundland","working","43.0","34.0","Above average","15-25",">70","9.32","340.0","hip problems, heart defects","2.0","subaortic stenosis, hip dysplasia","4.0","15750.91794","1177.5","mid-price","500.0","2000.0","8.75","7.5","10.0","10.87769375","5289.760468","9083.657475","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","56.69904625","125","68.58","27",NA,NA,NA,NA
"113","Norfolk Terrier","terrier","120.0","56.0","Fair","40-80",">30","13.07","324.0","none","0.0","none","5.0","19896.68099","2083.333333","high-end","250.0","2500.0","5.75","4.0","7.5","7.14819875","4874.785083","12738.56258","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","5.44310844","12.0","24.13","9.5","price: 9 puppies only",NA,NA,NA
"114","Norwegian Buhund","herding","165.0",NA,NA,NA,NA,"12.67","17.0",NA,NA,NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12348.70603","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","14.96854821","33","43.815","17.25",NA,NA,NA,NA
"115","Norwegian Elkhound","hound","96.0","36.0","Above average","15-25",">70",NA,"-","hip problems","1.0","hip dysplasia","2.0",NA,"448","budget","350.0","500.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","23.36000706","51.5","50.8","20","price: 5 puppies only",NA,NA,NA
"116","Norwegian Lundehund","non-sporting","170.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"34.29","13.5",NA,NA,NA,NA
"117","Norwich Terrier","terrier","89.0","38.0","Above average","15-25",">70",NA,"-","none","0.0","none","4.0",NA,"1245","mid-price","750.0","2000.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","5.44310844","12.0","25.4","10.0",NA,NA,NA,NA
"118","Nova Scotia Duck Tolling Retriever","sporting","107.0",NA,NA,NA,NA,"6.5","150.0","hip problems","1.0","hip dysplasia","3.0","10459.50725","1500","high-end","1500.0","1500.0","5.75","4.0","7.5","7.14819875","2424.338412","6335.16884","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"48.26","19","4 dogs for sale only",NA,NA,NA
"119","Old English Sheepdog","herding","84.0","63.0","Fair","40-80",">30","11.19","111.0","hip problems","1.0","hip dysplasia","5.0","18288.8548","831.5","mid-price","500.0","1000.0","8.75","7.5","10.0","10.87769375","6351.117987","10906.23682","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","medium",NA,NA,"55.88","22.0",NA,NA,NA,NA
"120","Otterhound","hound","169.0","46.0","Average","25-40",">50","10.8","41.0","hip problems","1.0","hip dysplasia","3.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","4028.131515","10526.12669","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","44.22525608","97.5","64.77","25.5",NA,NA,NA,NA
"121","Papillon","toy","38.0","8.0","Brightest","<5",">95","13.0","100.0","cataracts, hair loss, heart, eye, blood clotting disorders","5.0","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease","6.0","16983.33025","740","mid-price","400.0","1000.0","4","4.0","4.0","4.97266","3372.992573","12670.33768","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small",NA,NA,"24.13","9.5",NA,NA,NA,NA
"122","Parson Russell Terrier","terrier","97.0",NA,NA,NA,NA,NA,"-","none","0.0","none","4.0",NA,"527.5","budget","150.0","850.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","6.80388555","15","34.29","13.5",NA,NA,NA,NA
"123","Pekingese","toy","64.0","74.0","Lowest","80-100","<25","11.56","94.0","knee problems","1.0","Patellar luxation","6.0","16663.44674","885","mid-price","200.0","3800.0","5.75","4.0","7.5","7.14819875","4311.592622","11266.85412","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","n/a","medium","small","5.89670081","13.0",NA,NA,"to weigh no more than 14 pounds",NA,NA,NA
"124","Pembroke Welsh Corgi","herding","25.0","11.0","Excellent","5-15",">85","12.25","116.0","cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders","9.0","Cataracts, Corneal dystrophy, Cutaneous asthenia (Ehlers-Danlos syndrome), Degenerative myelopathy, Familial kidney disease, Intervertebral disk disease, Persistent pupillary membranes (PPM), Retinal dysplasia, von Willebrand's disease","4.0",NA,"586.5","budget","375.0","750.0",NA,NA,NA,NA,NA,"11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","11.79340162","26","27.94","11",NA,NA,NA,NA
"125","Petit Basset Griffon Vendeen","hound","131.0","62.0","Fair","40-80",">30","12.7","45.0","none","0.0","none","5.0",NA,"400","budget","250.0","700.0",NA,NA,NA,NA,NA,"12377.94527","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"35.56","14","price: 3 puppies for sale only",NA,NA,NA
"126","Pharaoh Hound","hound","151.0","37.0","Above average","15-25",">70","11.83","15.0","none","0.0","none","2.0","17054.8032","912.5","mid-price","475.0","1000.0","5.75","4.0","7.5","7.14819875","4412.295909","11530.00729","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"58.42","23","price: 6 puppies for sale only",NA,NA,NA
"127","Plott","hound","145.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","22.6796185","50","57.15","22.5",NA,NA,NA,NA
"128","Pointer","sporting","115.0","43.0","Average","25-40",">50","12.42","145.0","hip problems","1.0","hip dysplasia","3.0","19648.02584","293.75","budget","50.0","500.0","8.75","7.5","10.0","10.87769375","7049.230151","12105.04569","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","26.98874602","59.5","64.77","25.5","English Pointer. price: 8 puppies for sale only",NA,NA,NA
"129","Polish Lowland Sheepdog","herding","159.0",NA,NA,NA,NA,"10.8","30.0",NA,NA,NA,"4.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","4028.131515","10526.12669","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"46.99","18.5",NA,NA,NA,NA
"130","Pomeranian","toy","17.0","23.0","Excellent","5-15",">85","9.67","29.0","heart problems","1.0","Patent ductus arteriosus (PDA)","6.0","12803.7695","670","budget","200.0","1500.0","4","4.0","4.0","4.97266","2508.987552","9424.781951","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","2.26796185","5",NA,NA,NA,NA,NA,NA
"131","Poodle","non-sporting","8.0","2.0","Brightest","<5",">95","11.95","1178.0","fatal stomach bloat, skin disorder","2.0","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)","3.0","17204.01718","900","mid-price","500.0","1500.0","5.75","4.0","7.5","7.14819875","4457.052926","11646.96425","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"40.64","16.0","15 in is min height for standard poodle",NA,NA,NA
"132","Portuguese Water Dog","working","56.0",NA,NA,NA,NA,"11.42","6.0","none","0.0","none","4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11130.40433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","21.54563758","47.5","50.8","20",NA,NA,NA,NA
"133","Pug","toy","26.0","57.0","Fair","40-80",">30","11.0","163.0","'dry eye'","1.0","Keratoconjunctivitis sicca (KCS) - ""dry eye""","1 or 6 depending on taste",NA,"469.4","budget","250.0","699.0",NA,NA,NA,NA,NA,"10721.05496","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"40.64","16",NA,NA,NA,NA
"134","Puli","herding","156.0","27.0","Above average","15-25",">70",NA,"-","none","0.0","none","5.0",NA,"912.5","mid-price","700.0","1000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"41.91","16.5",NA,NA,NA,NA
"135","Pyrenean Shepherd","herding","162.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"45.72","18",NA,NA,NA,NA
"136","Redbone Coonhound","hound","126.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,"425","budget","300.0","700.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"60.96","24",NA,NA,NA,NA
"137","Rhodesian Ridgeback","hound","44.0","52.0","Average","25-40",">50","9.1","10.0","birth defects, hip problems","2.0","dermoid sinus, Hip dysplasia","3.0","13458.31015","995","mid-price","750.0","1300.0","5.75","4.0","7.5","7.14819875","3394.073777","8869.236376","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large","35.15340868","77.5","64.77","25.5",NA,NA,NA,NA
"138","Rottweiler","working","10.0","9.0","Brightest","<5",">95","9.11","654.0","heart, elbow, hip problems","3.0","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia","2.0","15367.05338","1117.5","mid-price","300.0","1800.0","8.75","7.5","10.0","10.87769375","5170.570586","8878.98279","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large",NA,NA,"62.23","24.5",NA,NA,NA,NA
"139","Saint Bernard","working","49.0","65.0","Fair","40-80",">30","7.78","93.0","heart, hip disorders, fatal stomach bloat","3.0","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia","4.0","16227.4835","875","mid-price","450.0","1500.0","15","15.0","15.0","18.647475","7569.773717","7582.709781","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","large","70.30681735","155","67.31","26.5",NA,NA,NA,NA
"140","Saluki","hound","117.0","43.0","Average","25-40",">50","12.0","132.0","none","0.0","none","2.0","20231.54671","1525","high-end","1000.0","1800.0","8.75","7.5","10.0","10.87769375","6810.850388","11695.69632","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","medium",NA,NA,"58.42","23.0","lower end of range for males (23-28). females smaller",NA,NA,NA
"141","Samoyed","working","69.0","33.0","Above average","15-25",">70","12.44","232.0","hip problems","1.0","hip dysplasia","4.0","20547.12009","1162","mid-price","795.0","1400.0","8.75","7.5","10.0","10.87769375","7060.581569","12124.53852","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"53.975","21.25",NA,NA,NA,NA
"142","Schipperke","non-sporting","105.0","15.0","Excellent","5-15",">85","13.0","36.0","hair loss, diabetes, skin problems","4.0","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus","3.0",NA,"657.5","budget","300.0","975.0",NA,NA,NA,NA,NA,"12670.33768","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"29.21","11.5",NA,NA,NA,NA
