"","Dog breed","category","datadog score","POPULARITY IN US","POPULARITY IN US","LIFETIME COST, $","5 LIFETIME COST","1 INTELLIGENCE (TRAINABILITY) ranking","INTELLIGENCE (TRAINABILITY) ranking","2 LONGEVITY","LONGEVITY","3 NO. OF GENETIC AILMENTS","GENETIC AILMENTS","4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$","5a grooming required","grooming required","5b suitability for children","suitability for children","ULTIMATE TOP DOG MEGA SCORE (with kids)","ULTIMATE TOP DATA DOG MEGA RANKING - without kids","ULTIMATE TOP DATA DOG MEGA RANKING - with kids","ULTIMATE TOP DOG MEGA SCORE","POPULAR RATING","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link","intelligence category","repetitions to understand new commands","obey first command (% of time)","longevity sample size - survey sample size","GENETIC DISEASES - congenital ailments: summary / areas affected","congenital ailments: summary / areas affected","4 LIFETIME COST, $","4 LIFETIME COST","average purchase price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $","Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","","","",""
"11","Siberian Husky","working","3.22","16.0","16","22049.0","0.2","45.0","0.4482758621","12.58","0.8275862069","0.0","1","650.0","0.6666666667","466.3820615625","0.2298850575","3.0","1.0","1.0","1","4.724137931","10","3","3.224137931","16","medium","21.54563758","47.5","55.245","21.75","Longevity based on UK KC Survey 2004","UK Kennel Club survey 2004","http://www.thekennelclub.org.uk/item/549","Average","25-40",">50","129.0","none","none","17803.01557","0.1954022989","650","budget","450.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4692.027265","12260.98831","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"12","Lhasa Apso","non-sporting","3.21","62.0","50","22031.0","0.21","68.0","0.1494252874","13.92","0.9655172414","1.0","0.8888888889","350.0","0.9770114943","324.439695","0.6781609195","2.0","0.75","1.0","1","4.581417625","12","7","3.206417625","62","small","6.80388555","15","26.67","10.5",NA,NA,NA,"Fair","40-80",">30","91.0","'dry eye'","Keratoconjunctivitis sicca (KCS) - ""dry eye""","17728.70439","0.2183908046","350","budget","175.0","550.0","4","4.0","4.0","4.97266","259.4609672","3611.696663","13567.00773","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"13","Affenpinscher","toy","3.2","139.0","84","18333.0","0.72","37.0","0.5632183908","11.42","0.4712643678","0.0","1","510.0","0.8965517241","324.439695","0.6781609195","2.0","0.75","2.0","0.5","4.07183908","13","26","3.19683908","139","small",NA,NA,"26.035","10.25",NA,NA,NA,"Above average","15-25",">70","21.0","none","none","14803.44858","0.7126436782","510","budget","200.0","800.0","4","4.0","4.0","4.97266","259.4609672","2963.044245","11130.40433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"14","Dachshund","hound","3.19","9.0","9","20113.0","0.49","49.0","0.367816092","12.63","0.8505747126","2.0","0.7777777778","422.5","0.9655172414","324.439695","0.6781609195","2.0","0.75","3.0","0.0","3.568007663","14","54","3.193007663","9","small","10.88621688","24",NA,NA,NA,NA,NA,"Average","25-40",">50","265.0","skin, spinal problems","acanthosis nigricans, Intervertebral disk disease","16209.21239","0.4942528736","422.5","budget","125.0","750.0","4","4.0","4.0","4.97266","259.4609672","3276.992015","12309.72038","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"15","Miniature Schnauzer","terrier","3.19","12.0","12","20087.0","0.51","12.0","0.8735632184","11.81","0.5632183908","2.0","0.7777777778","714.5","0.5747126437","404.597379375","0.632183908","2.0","0.75","2.0","0.5","4.068007663","14","27","3.193007663","12","small","7.030681735","15.5","33.02","13",NA,NA,NA,"Excellent","5-15",">85","232.0","liver, sinus problems","Portosystemic shunt, Sick sinus syndrome","15354.08298","0.6436781609","714.5","mid-price","200.0","1600.0","-","-","-","4.7533125","248.015963","2929.068523","11510.51446","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/miniature-schnauzer#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Schnauzer-Miniature",NA
"16","Chihuahua","toy","3.15","14.0","14","26250.0","0.02","67.0","0.1609195402","16.5","1","1.0","0.8888888889","587.5","0.7816091954","324.439695","0.6781609195","2.0","0.75","3.0","0.0","3.529693487","16","55","3.154693487","14","small","2.494758035","5.5","13.0","5.0","weight should not exceed 6 pounds",NA,NA,"Fair","40-80",">30","-","knee problems","Patellar luxation","21150.1884","0.01149425287","587.5","budget","200.0","1500.0","4","4.0","4.0","4.97266","259.4609672","4281.105958","16081.58244","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","lifespan","http://www.yourdogsbreed.com/dog-breeds/95-chihuahua.html","http://www.vetstreet.com/dogs/chihuahua",NA
"17","Australian Terrier","terrier","3.11","121.0","77","17892.0","0.76","34.0","0.6436781609","11.05","0.4022988506","0.0","1","640.0","0.7011494253","324.439695","0.6781609195","2.0","0.75","2.0","0.5","3.985632184","17","30","3.110632184","121","small",NA,NA,"26.67","10.5",NA,NA,NA,"Above average","15-25",">70","241.0","none","none","14476.83072","0.7471264368","640","budget","200.0","900.0","4","4.0","4.0","4.97266","259.4609672","2867.043687","10769.78703","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"18","Whippet","hound","3.11","57.0","46","20976.0","0.38","51.0","0.3448275862","12.87","0.8735632184","0.0","1","915.0","0.3563218391","324.439695","0.6781609195","2.0","0.75","2.0","0.5","3.985632184","17","30","3.110632184","57","medium",NA,NA,"50.8","20",NA,NA,NA,"Average","25-40",">50","500.0","none","none","16997.89695","0.3563218391","915","mid-price","650.0","1200.0","4","4.0","4.0","4.97266","259.4609672","3339.262647","12543.6343","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"19","English Springer Spaniel","sporting","3.09","29.0","29","21946.0","0.24","13.0","0.8620689655","12.54","0.816091954","4.0","0.5555555556","615.0","0.7356321839","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.466475096","19","9","3.091475096","29","medium","20.41165665","45","49.53","19.5",NA,NA,NA,"Excellent","5-15",">85","194.0","hip, eye, skin problems; enzyme deficiency","Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea","17714.11091","0.2413793103","615","budget","450.0","1500.0","5.75","4.0","7.5","7.14819875","372.9751403","4677.108259","12222.00265","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"20","West Highland White Terrier","terrier","3.08","35.0","32","20490.0","0.41","47.0","0.4137931034","12.8","0.8620689655","3.0","0.6666666667","537.5","0.8390804598","324.439695","0.6781609195","2.0","0.75","1.0","1","4.451149425","20","10","3.076149425","35","small",NA,NA,"26.67","10.5",NA,NA,NA,"Average","25-40",">50","80.0","'lion jaw', 'dry eye', skin problems","Craniomandibular osteopathy (""lion jaw""), Keratoconjunctivitis sicca (KCS) - ""dry eye"", seborrhea","16534.00979","0.4022988506","537.5","budget","275.0","750.0","4","4.0","4.0","4.97266","259.4609672","3321.10038","12475.40941","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
