"","Dog breed","category","datadog score","POPULARITY IN US","POPULARITY IN US","LIFETIME COST, $","5 LIFETIME COST","1 INTELLIGENCE (TRAINABILITY) ranking","INTELLIGENCE (TRAINABILITY) ranking","2 LONGEVITY","LONGEVITY","3 NO. OF GENETIC AILMENTS","GENETIC AILMENTS","4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$","5a grooming required","grooming required","5b suitability for children","suitability for children","ULTIMATE TOP DOG MEGA SCORE (with kids)","ULTIMATE TOP DATA DOG MEGA RANKING - without kids","ULTIMATE TOP DATA DOG MEGA RANKING - with kids","ULTIMATE TOP DOG MEGA SCORE","POPULAR RATING","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link","intelligence category","repetitions to understand new commands","obey first command (% of time)","longevity sample size - survey sample size","GENETIC DISEASES - congenital ailments: summary / areas affected","congenital ailments: summary / areas affected","4 LIFETIME COST, $","4 LIFETIME COST","average purchase price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $","Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","","","",""
"31","Australian Shepherd","herding","2.91","24.0","24","21458.0","0.28","42.0","0.5172413793","12.28","0.7126436782","2.0","0.7777777778","565.0","0.816091954","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","3.780651341","31","46","2.905651341","24","medium",NA,NA,"52.07","20.5",NA,NA,NA,"Average","25-40",">50","641.0","deafness, hip problems","deafness, hip dysplasia","17313.73062","0.2873563218","565","budget","250.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4580.134723","11968.5959","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"32","Yorkshire Terrier","toy","2.85","5.0","5","20701.0","0.39","27.0","0.7471264368","12.6","0.8390804598","4.0","0.5555555556","1057.0","0.2298850575","324.439695","0.6781609195","1.0","0.5","3.0","0.0","3.095785441","32","69","2.845785441","5","small","2.494758035","5.5",NA,NA,NA,NA,NA,"Above average","15-25",">70","63.0","knee, liver, trachea, eye disorders","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia","16806.68932","0.3793103448","1057","mid-price","275.0","2800.0","4","4.0","4.0","4.97266","259.4609672","3269.208186","12280.48114","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"33","Irish Setter","sporting","2.84","70.0","56","20323.0","0.45","35.0","0.6091954023","11.63","0.5287356322","2.0","0.7777777778","525.0","0.8620689655","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.211685824","33","17","2.836685824","70","large","29.48350405","65","66.04","26",NA,NA,NA,"Above average","15-25",">70","922.0","hip, eye problems","Hip dysplasia, Progressive retinal atrophy","16397.7799","0.4482758621","525","budget","300.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4337.700881","11335.07902","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"34","Pharaoh Hound","hound","2.81","151.0","86","21047.0","0.33","37.0","0.5632183908","11.83","0.5747126437","0.0","1","912.5","0.367816092","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","3.686781609","34","47","2.811781609","151","medium",NA,NA,"58.42","23","price: 6 puppies for sale only",NA,NA,"Above average","15-25",">70","15.0","none","none","17054.8032","0.3448275862","912.5","mid-price","475.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4412.295909","11530.00729","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"35","Brussels Griffon","toy","2.8","77.0","59","19551.0","0.57","59.0","0.2528735632","12.0","0.6091954023","0.0","1","832.5","0.4482758621","324.439695","0.6781609195","2.0","0.75","3.0","0.0","3.175287356","36","66","2.800287356","77","small","4.08233133","9",NA,NA,NA,NA,NA,"Fair","40-80",">30","71.0","none","none","15841.72793","0.5632183908","832.5","mid-price","500.0","1500.0","4","4.0","4.0","4.97266","259.4609672","3113.531606","11695.69632","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"36","Golden Retriever","sporting","2.8","4.0","4","21447.0","0.29","4.0","0.9655172414","12.04","0.632183908","4.0","0.5555555556","958.333333333333","0.3103448276","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.173371648","37","20","2.798371648","4","medium","27.2155422","60","57.785","22.75",NA,NA,NA,"Brightest","<5",">95","1314.0","elbows, hips, eyes, heart","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis","17383.636","0.275862069","958.3333333","mid-price","325.0","2500.0","5.75","4.0","7.5","7.14819875","372.9751403","4490.620689","11734.68197","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"37","Samoyed","working","2.8","69.0","55","25352.0","0.06","33.0","0.6781609195","12.44","0.7586206897","1.0","0.8888888889","1162.0","0.1494252874","709.7118328125","0.05747126437","2.0","0.75","1.0","1","4.179118774","35","18","2.804118774","69","medium",NA,NA,"53.975","21.25",NA,NA,NA,"Above average","15-25",">70","232.0","hip problems","hip dysplasia","20547.12009","0.03448275862","1162","mid-price","795.0","1400.0","8.75","7.5","10.0","10.87769375","567.5708656","7060.581569","12124.53852","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"38","Beagle","hound","2.79","3.0","3","19468.0","0.59","73.0","0.09195402299","12.3","0.724137931","1.0","0.8888888889","287.5","1","324.439695","0.6781609195","1.0","0.5","1.0","1","4.044061303","38","28","2.794061303","3","small",NA,NA,"35.56","14",NA,NA,NA,"Lowest","80-100","<25","303.0","heart problems","Pulmonic stenosis","15666.95862","0.5862068966","287.5","budget","100.0","600.0","4","4.0","4.0","4.97266","259.4609672","3191.369896","11988.08873","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"39","Chesapeake Bay Retriever","sporting","2.78","46.0","40","16697.0","0.84","27.0","0.7471264368","9.48","0.2183908046","1.0","0.8888888889","522.0","0.8735632184","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.156130268","39","21","2.781130268","46","large","30.61748498","67.5","59.69","23.5",NA,NA,NA,"Above average","15-25",">70","776.0","hip problems","hip dysplasia","13497.40442","0.8275862069","522","budget","175.0","795.0","5.75","4.0","7.5","7.14819875","372.9751403","3535.80433","9239.600093","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"40","Tibetan Terrier","non-sporting","2.75","86.0","64","20336.0","0.44","62.0","0.2183908046","12.31","0.7356321839","0.0","1","1140.0","0.1724137931","324.439695","0.6781609195","2.0","0.75","2.0","0.5","3.629310345","40","51","2.754310345","86","small","10.88621688","24","39.37","15.5",NA,NA,NA,"Fair","40-80",">30","102.0","none","none","16531.79965","0.4137931034","1140","mid-price","450.0","1600.0","4","4.0","4.0","4.97266","259.4609672","3193.964506","11997.83514","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"41","Gordon Setter","sporting","2.73","94.0","69","19605.0","0.56","34.0","0.6436781609","11.1","0.4137931034","1.0","0.8888888889","700.0","0.5862068966","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.10440613","41","23","2.72940613","94","large","28.34952313","62.5","63.5","25","3 dogs only",NA,NA,"Above average","15-25",">70","169.0","hip problems","hip dysplasia","15858.54315","0.5517241379","700","mid-price","500.0","100.0","5.75","4.0","7.5","7.14819875","372.9751403","4140.024057","10818.5191","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"42","English Setter","sporting","2.72","87.0","65","20312.0","0.46","37.0","0.5632183908","11.57","0.5172413793","2.0","0.7777777778","615.0","0.7356321839","466.3820615625","0.2298850575","2.0","0.75","1.0","1","4.090996169","43","25","2.715996169","87","large",NA,NA,"62.23","24.5",NA,NA,NA,"Above average","15-25",">70","402.0","deafness, hip problems","deafness, hip dysplasia","16406.92291","0.4367816092","615","budget","250.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4315.322373","11276.60054","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"43","Pug","toy","2.72","26.0","26","18527.0","0.68","57.0","0.2873563218","11.0","0.3908045977","1.0","0.8888888889","469.4","0.9195402299","404.597379375","0.632183908","2.0","0.75","1.0","1.0","4.092911877","42","24","2.717911877","26","medium","7.25747792","16","40.64","16",NA,NA,NA,"Fair","40-80",">30","163.0","'dry eye'","Keratoconjunctivitis sicca (KCS) - ""dry eye""","14118.63055","0.8045977011","469.4","budget","250.0","699.0","-","-","-","4.7533125","248.015963","2728.175593","10721.05496","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/pug#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Pug",NA
"44","Briard","herding","2.71","125.0","79","19673.0","0.55","30.0","0.7011494253","11.17","0.4252873563","1.0","0.8888888889","650.0","0.6666666667","466.3820615625","0.2298850575","1.0","0.5","1.0","1","3.963601533","44","33","2.713601533","125","large",NA,NA,"62.23","24.5","Only 2 puppies for sale",NA,NA,"Above average","15-25",">70","71.0","hip problems","hip dysplasia","15902.87631","0.5402298851","650","budget","500.0","800.0","5.75","4.0","7.5","7.14819875","372.9751403","4166.132317","10886.74399","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"45","Norfolk Terrier","terrier","2.71","120.0","76","24308.0","0.1","56.0","0.2988505747","13.07","0.908045977","0.0","1","2083.33333333333","0.02298850575","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","3.583333333","45","53","2.708333333","120","small","5.44310844","12.0","24.13","9.5","price: 9 puppies only",NA,NA,"Fair","40-80",">30","324.0","none","none","19896.68099","0.05747126437","2083.333333","high-end","250.0","2500.0","5.75","4.0","7.5","7.14819875","372.9751403","4874.785083","12738.56258","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"46","Flat-Coated Retriever","sporting","2.7","90.0","67","16000.0","0.9","18.0","0.816091954","9.02","0.1379310345","0.0","1","600.0","0.7701149425","466.3820615625","0.2298850575","1.0","0.5","1.0","1","3.954022989","46","34","2.704022989","90","medium",NA,NA,"59.055","23.25","Price: 3 dogs only",NA,NA,"Excellent","5-15",">85","1198.0","none","none","12955.50083","0.8965517241","600","budget","300.0","1200.0","5.75","4.0","7.5","7.14819875","372.9751403","3364.235765","8791.265067","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"47","Boston Terrier","non-sporting","2.61","22.0","22","17741.0","0.77","54.0","0.3103448276","10.92","0.3793103448","1.0","0.8888888889","690.0","0.632183908","324.439695","0.6781609195","2.0","0.75","1.0","1","3.983716475","47","32","2.608716475","22","medium","NA (3 classes)","NA (3 classes)",NA,NA,NA,NA,NA,"Average","25-40",">50","42.0","breathing problems","brachycephalic syndrome","14366.39741","0.7586206897","690","budget","400.0","1050.0","4","4.0","4.0","4.97266","259.4609672","2833.313761","10643.08365","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"48","Doberman Pinscher","working","2.59","13.0","13","18397.0","0.71","5.0","0.9540229885","10.33","0.3218390805","4.0","0.5555555556","789.5","0.5402298851","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","3.466475096","49","57","2.591475096","13","large",NA,NA,"66.04","26",NA,NA,NA,"Brightest","<5",">95","201.0","heart, spine, blood clotting disorders","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease","14910.37845","0.6896551724","789.5","mid-price","300.0","1200.0","5.75","4.0","7.5","7.14819875","372.9751403","3852.833199","10068.04525","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"49","English Toy Spaniel","toy","2.59","129.0","80","17521.0","0.79","45.0","0.4482758621","10.1","0.2873563218","0.0","1","925.0","0.3333333333","404.597379375","0.632183908","2.0","0.75","2.0","0.5","3.468390805","48","56","2.593390805","129","small","4.98951607","11","25.0","10.0",NA,NA,NA,"Average","25-40",">50","22.0","none","none","13473.83896","0.8390804598","925","mid-price","150.0","1500.0","-","-","-","4.7533125","248.015963","2504.961226","9843.877736","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","height food cost","http://www.vetstreet.com/dogs/english-toy-spaniel#health","http://www.purina.com.au/owning-a-dog/dog-breeds/King-Charles-Spaniel",NA
"50","Belgian Tervuren","herding","2.57","108.0","72","19132.0","0.61","14.0","0.8505747126","10.6","0.3448275862","2.0","0.7777777778","1070.0","0.2068965517","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.941570881","52","38","2.566570881","108","large",NA,NA,"60.96","24",NA,NA,NA,"Excellent","5-15",">85","105.0","epilepsy, eye problems","Idiopathic epilepsy, Pannus - chronic superficial keratitis","15554.7349","0.5977011494","1070","mid-price","850.0","1200.0","5.75","4.0","7.5","7.14819875","372.9751403","3953.536487","10331.19842","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"51","Cavalier King Charles Spaniel","toy","2.57","21.0","21","18639.0","0.67","44.0","0.4827586207","11.29","0.4597701149","2.0","0.7777777778","1016.55555555556","0.275862069","324.439695","0.6781609195","2.0","0.75","1.0","1","3.947318008","50","35","2.572318008","21","small","7.030681735","15.5","31.75","12.5",NA,NA,NA,"Average","25-40",">50","829.0","heart, spinal problems","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)","15149.57083","0.6551724138","1016.555556","mid-price","100.0","1800.0","4","4.0","4.0","4.97266","259.4609672","2929.314319","11003.70095","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"52","Dalmatian","non-sporting","2.57","73.0","57","19886.0","0.53","39.0","0.5517241379","11.27","0.4482758621","2.0","0.7777777778","695.0","0.6091954023","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.947318008","50","35","2.572318008","73","medium",NA,NA,"53.34","21",NA,NA,NA,"Above average","15-25",">70","404.0","deafness, urinary stones","Deafness, Urolithiasis (stones)","16082.63796","0.5057471264","695","budget","350.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4203.429831","10984.20813","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"53","Basset Hound","hound","2.54","41.0","36","18328.0","0.74","71.0","0.1149425287","11.43","0.4827586207","2.0","0.7777777778","489.5","0.908045977","324.439695","0.6781609195","2.0","0.75","1.0","1","3.918582375","53","39","2.543582375","41","small",NA,NA,"35.56","14.0",NA,NA,NA,"Lowest","80-100","<25","152.0","blood, skin disorders","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea","14795.2896","0.724137931","489.5","budget","150.0","1000.0","4","4.0","4.0","4.97266","259.4609672","2965.638855","11140.15074","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"54","Basenji","hound","2.51","93.0","68","22096.0","0.18","79.0","0.02298850575","13.58","0.9425287356","3.0","0.6666666667","940.0","0.3218390805","324.439695","0.6781609195","2.0","0.75","2.0","0.5","3.382183908","54","59","2.507183908","93","medium","10.43262451","23","41.91","16.5",NA,NA,NA,"Lowest","80-100","<25","46.0","kidney, eye problems, anaemia","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency","17899.1096","0.1724137931","940","mid-price","600.0","1200.0","4","4.0","4.0","4.97266","259.4609672","3523.479934","13235.62967","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"55","Italian Greyhound","toy","2.49","65.0","53","16463.0","0.86","60.0","0.2413793103","10.02","0.275862069","0.0","1","800.0","0.5172413793","324.439695","0.6781609195","2.0","0.75","3.0","0.0","2.864942529","55","77","2.489942529","65","small",NA,NA,"35.56","14",NA,NA,NA,"Fair","40-80",">30","203.0","none","none","13365.70532","0.8620689655","800","mid-price","500.0","120.0","4","4.0","4.0","4.97266","259.4609672","2599.798891","9765.906427","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"56","Staffordshire Bull Terrier","terrier","2.48","76.0","58","21650.0","0.25","49.0","0.367816092","12.05","0.6551724138","1.0","0.8888888889","1144.9","0.1609195402","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.857279693","56","41","2.482279693","76","medium","14.06136347","31","38.1","15",NA,NA,NA,"Average","25-40",">50","157.0","hip problems","hip dysplasia","17583.67883","0.2528735632","1144.9","mid-price","500.0","1500.0","5.75","4.0","7.5","7.14819875","372.9751403","4494.35044","11744.42839","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"57","Bouvier des Flandres","herding","2.47","83.0","62","18959.0","0.64","29.0","0.724137931","10.34","0.3333333333","1.0","0.8888888889","1335.0","0.05747126437","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.840038314","57","42","2.465038314","83","large",NA,NA,"64.77","25.5",NA,NA,NA,"Above average","15-25",">70","1079.0","hip problems","hip dysplasia","15469.35461","0.6091954023","1335","mid-price","800.0","2500.0","5.75","4.0","7.5","7.14819875","372.9751403","3856.56295","10077.79166","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"58","Pembroke Welsh Corgi","herding","2.45","25.0","25","23978.0","0.13","11.0","0.8850574713","12.25","0.6896551724","9.0","0","586.5","0.7931034483","674.328965625","0.2068965517","2.0","0.75","1.0","1.0","3.824712644","58","43","2.449712644","25","small","11.79340162","26","27.94","11",NA,NA,NA,"Excellent","5-15",">85","116.0","cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders","Cataracts, Corneal dystrophy, Cutaneous asthenia (Ehlers-Danlos syndrome), Degenerative myelopathy, Familial kidney disease, Intervertebral disk disease, Persistent pupillary membranes (PPM), Retinal dysplasia, von Willebrand's disease","17789.5159","0.2068965517","586.5","budget","375.0","750.0","-","-","-","7.9221875","413.3599383","5063.659244","11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/pembroke-welsh-corgi#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Welsh-Corgi-Pembroke",NA
"59","Clumber Spaniel","sporting","2.44","133.0","82","18084.0","0.75","37.0","0.5632183908","10.0","0.2528735632","0.0","1","1033.33333333333","0.2643678161","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.813218391","59","44","2.438218391","133","medium","31.7514659","70","46.99","18.5",NA,NA,NA,"Above average","15-25",">70","301.0","none","none","14709.49834","0.7356321839","1033.333333","mid-price","800.0","1500.0","5.75","4.0","7.5","7.14819875","372.9751403","3729.751403","9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"60","Dandie Dinmont Terrier","terrier","2.42","160.0","87","21633.0","0.26","62.0","0.2183908046","12.17","0.6666666667","0.0","1","925.0","0.3333333333","466.3820615625","0.2298850575","1.0","0.5","1.0","1","3.666666667","60","49","2.416666667","160","small","9.52543977","21","22.86","9","Only 2 for sale",NA,NA,"Fair","40-80",">30","62.0","none","none","17525.49281","0.2643678161","925","mid-price","850.0","1000.0","5.75","4.0","7.5","7.14819875","372.9751403","4539.107457","11861.38535","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"61","Saluki","hound","2.41","117.0","75","24866.0","0.07","43.0","0.4942528736","12.0","0.6091954023","0.0","1","1525.0","0.04597701149","709.7118328125","0.05747126437","1.0","0.5","1.0","1","3.655172414","61","50","2.405172414","117","medium",NA,NA,"58.42","23.0","lower end of range for males (23-28). females smaller",NA,NA,"Average","25-40",">50","132.0","none","none","20231.54671","0.04597701149","1525","high-end","1000.0","1800.0","8.75","7.5","10.0","10.87769375","567.5708656","6810.850388","11695.69632","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"62","Giant Schnauzer","working","2.38","95.0","70","26686.0","0.01","28.0","0.7356321839","10.0","0.2528735632","1.0","0.8888888889","810.0","0.4942528736","1348.65793125","0.01149425287","1.0","0.5","2.0","0.5","3.130268199","62","67","2.380268199","95","large","35.15340868","77.5","64.77","25.5",NA,NA,NA,"Above average","15-25",">70","39.0","hip problems","hip dysplasia","19023.61237","0.09195402299","810","mid-price","400.0","1500.0","-","-","-","15.844375","826.7198766","8267.198766","9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/giant-schnauzer#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Schnauzer-Giant",NA
"63","Greyhound","hound","2.29","140.0","85","15819.0","0.92","46.0","0.4252873563","9.36","0.1954022989","1.0","0.8888888889","1175.0","0.1379310345","324.439695","0.6781609195","2.0","0.75","1.0","1","3.667624521","63","48","2.292624521","140","large","29.48350405","65",NA,NA,NA,NA,NA,"Average","25-40",">50","74.0","blood vessel disorders","familial vasculopathy","12926.19778","0.908045977","1175","mid-price","200.0","2500.0","4","4.0","4.0","4.97266","259.4609672","2428.554653","9122.64313","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"64","Scottish Terrier","terrier","2.27","54.0","45","17525.0","0.78","65.0","0.183908046","10.69","0.367816092","1.0","0.8888888889","829.0","0.4712643678","324.439695","0.6781609195","1.0","0.5","2.0","0.5","3.01532567","64","71","2.26532567","54","small","9.0718474","20","25.4","10",NA,NA,NA,"Fair","40-80",">30","342.0","blood clotting disorder","von Willebrand's disease","14221.55388","0.7816091954","829","mid-price","400.0","2200.0","4","4.0","4.0","4.97266","259.4609672","2773.637739","10418.91614","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"65","Rottweiler","working","2.24","10.0","10","18886.0","0.66","9.0","0.908045977","9.11","0.1724137931","3.0","0.6666666667","1117.5","0.183908046","709.7118328125","0.05747126437","2.0","0.75","2.0","0.5","3.117816092","65","68","2.242816092","10","large",NA,NA,"62.23","24.5",NA,NA,NA,"Brightest","<5",">95","654.0","heart, elbow, hip problems","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia","15367.05338","0.632183908","1117.5","mid-price","300.0","1800.0","8.75","7.5","10.0","10.87769375","567.5708656","5170.570586","8878.98279","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"66","Kerry Blue Terrier","terrier","2.13","124.0","78","17240.0","0.83","35.0","0.6091954023","9.4","0.2068965517","1.0","0.8888888889","1200.0","0.1149425287","466.3820615625","0.2298850575","1.0","0.5","2.0","0.5","2.877394636","66","76","2.127394636","124","medium","16.55612151","36.5","46.99","18.5",NA,NA,NA,"Above average","15-25",">70","353.0","heart problems","Patent ductus arteriosus (PDA)","14067.5951","0.816091954","1200","mid-price","900.0","1500.0","5.75","4.0","7.5","7.14819875","372.9751403","3505.966319","9161.628784","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"67","Afghan Hound","hound","2.08","88.0","66","24077.0","0.11","80.0","0.01149425287","11.92","0.5862068966","0.0","1","890.0","0.4022988506","709.7118328125","0.05747126437","1.0","0.5","1.0","1","3.327586207","67","60","2.077586207","88","large","24.94758035","55","66.04","26",NA,NA,NA,"Lowest","80-100","<25","154.0","none","none","19473.16973","0.08045977011","890","mid-price","450.0","1000.0","8.75","7.5","10.0","10.87769375","567.5708656","6765.444718","11617.72501","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"68","Newfoundland","working","2.07","43.0","37","19351.0","0.6","34.0","0.6436781609","9.32","0.183908046","2.0","0.7777777778","1177.5","0.1264367816","709.7118328125","0.05747126437","2.0","0.75","1.0","1","3.447318008","68","58","2.072318008","43","large","56.69904625","125","68.58","27",NA,NA,NA,"Above average","15-25",">70","340.0","hip problems, heart defects","subaortic stenosis, hip dysplasia","15750.91794","0.5747126437","1177.5","mid-price","500.0","2000.0","8.75","7.5","10.0","10.87769375","567.5708656","5289.760468","9083.657475","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"69","German Shepherd","herding","2.06","2.0","2","17416.0","0.8","3.0","0.9770114943","9.73","0.2413793103","8.0","0.1111111111","819.5","0.4827586207","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","2.935823755","69","74","2.060823755","2","large",NA,NA,"60.96","24",NA,NA,NA,"Brightest","<5",">95","795.0","nerves, pancreas, blood (hemophilia), hip joints","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

","14131.80855","0.7931034483","819.5","mid-price","400.0","1495.0","5.75","4.0","7.5","7.14819875","372.9751403","3629.048115","9483.260433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"70","Pekingese","toy","2.05","64.0","52","20565.0","0.4","74.0","0.08045977011","11.56","0.5057471264","1.0","0.8888888889","885.0","0.4137931034","466.3820615625","0.2298850575","1.0","0.5","2.0","0.5","2.796934866","70","78","2.046934866","64","small","5.89670081","13.0",NA,NA,"to weigh no more than 14 pounds",NA,NA,"Lowest","80-100","<25","94.0","knee problems","Patellar luxation","16663.44674","0.3908045977","885","mid-price","200.0","3800.0","5.75","4.0","7.5","7.14819875","372.9751403","4311.592622","11266.85412","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"71","Old English Sheepdog","herding","2.04","84.0","63","22611.0","0.15","63.0","0.2068965517","11.19","0.4367816092","1.0","0.8888888889","831.5","0.4597701149","709.7118328125","0.05747126437","1.0","0.5","1.0","1","3.291187739","71","61","2.041187739","84","medium",NA,NA,"55.88","22.0",NA,NA,NA,"Fair","40-80",">30","111.0","hip problems","hip dysplasia","18288.8548","0.1264367816","831.5","mid-price","500.0","1000.0","8.75","7.5","10.0","10.87769375","567.5708656","6351.117987","10906.23682","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"72","Akita","working","1.95","47.0","41","20994.0","0.37","54.0","0.3103448276","10.16","0.2988505747","1.0","0.8888888889","1201.5","0.1034482759","709.7118328125","0.05747126437","2.0","0.75","3.0","0.0","2.328544061","72","86","1.953544061","47","large",NA,NA,"66.04","26",NA,NA,NA,"Average","25-40",">50","192.0","hip problems","hip dysplasia","17070.37621","0.3333333333","1201.5","mid-price","565.0","1800.0","8.75","7.5","10.0","10.87769375","567.5708656","5766.519995","9902.356218","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"73","Rhodesian Ridgeback","hound","1.91","44.0","38","16530.0","0.85","52.0","0.3333333333","9.1","0.1609195402","2.0","0.7777777778","995.0","0.2873563218","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","2.780651341","73","79","1.905651341","44","large","35.15340868","77.5","64.77","25.5",NA,NA,NA,"Average","25-40",">50","10.0","birth defects, hip problems","dermoid sinus, Hip dysplasia","13458.31015","0.8505747126","995","mid-price","750.0","1300.0","5.75","4.0","7.5","7.14819875","372.9751403","3394.073777","8869.236376","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
